id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n2_04960,N2,船便,ふなびん,surface mail (ship),noun (common) (futsuumeishi),surface mail (by ship) | sea mail | ferry service | steamer service,review,55,noun_needs_review,general,surface mail,船便,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04961,N2,艶,つや,"gloss,glaze",noun (common) (futsuumeishi),gloss | luster | lustre | shine | sheen,review,55,noun_needs_review,general,gloss,艶,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04962,N2,芯,しん,"core,heart,wick,marrow",noun (common) (futsuumeishi),wick | marrow | staple (for stapler) | (pencil) lead | stuffing,review,55,noun_needs_review,general,core,芯,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04963,N2,花嫁,はなよめ,bride,noun (common) (futsuumeishi),bride,review,55,noun_needs_review,general,bride,花嫁,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04964,N2,花火,はなび,fireworks,noun (common) (futsuumeishi),fireworks,review,55,noun_needs_review,general,fireworks,花火,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04965,N2,芸能,げいのう,"public entertainment,accomplishments,attainments",noun (common) (futsuumeishi),public entertainment | performing arts | accomplishments | attainments,review,55,noun_needs_review,general,public entertainment,芸能,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04967,N2,苦心,くしん,"pain,trouble",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,pains | hard work | effort | trouble | labour,review,48,action_needs_review,person_family,person paining,苦心,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_04968,N2,苦情,くじょう,"complaint,troubles,objection",noun (common) (futsuumeishi),complaint | troubles | objection | grievance,review,55,noun_needs_review,general,complaint,苦情,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04969,N2,英和,えいわ,English-Japanese (e.g. dictionary),noun (common) (futsuumeishi),English-Japanese | English-Japanese dictionary,review,55,noun_needs_review,general,English-Japanese,英和,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04974,N2,草履,ぞうり,"zoori (Japanese footwear),sandals",noun (common) (futsuumeishi),zori | traditional Japanese thonged sandals,review,55,noun_needs_review,general,zoori,草履,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04976,N2,落し物,おとしもの,lost property,noun (common) (futsuumeishi),lost property | something dropped and left behind | dropping something (without realising) | losing something,review,55,noun_needs_review,general,lost property,落し物,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04978,N2,落第,らくだい,"failure,dropping out of a class",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,failure (in an examination) | failing to advance (to the next year) | falling short of the standard | not making the grade,review,48,action_needs_review,person_family,person failuring,落第,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_04980,N2,葬式,そうしき,funeral,noun (common) (futsuumeishi),funeral,review,55,noun_needs_review,general,funeral,葬式,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04984,N2,蒸気,じょうき,"steam,vapour",noun (common) (futsuumeishi),steam | vapour | vapor | steamboat | steam locomotive,review,55,noun_needs_review,general,steam,蒸気,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04985,N2,蒸発,じょうはつ,"evaporation,unexplained disappearance",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,evaporation | disappearance (of a person) | vanishing without a trace,review,48,action_needs_review,person_family,person evaporationing,蒸発,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_04987,N2,蓋,ふた,"cover,lid,cap",noun (common) (futsuumeishi),cover | lid | cap,review,55,noun_needs_review,general,cover,蓋,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04988,N2,蕎麦,そば,soba (buckwheat noodles),noun (common) (futsuumeishi),buckwheat (Fagopyrum esculentum) | soba | Japanese buckwheat noodles | Chinese-style wheat noodles,review,55,noun_needs_review,general,soba,蕎麦,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04992,N2,薬局,やっきょく,"pharmacy,drugstore",noun (common) (futsuumeishi),pharmacy | drugstore | chemist's (shop) | hospital pharmacy | dispensary,review,55,noun_needs_review,general,pharmacy,薬局,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04993,N2,薬指,くすりゆび,ring finger,noun (common) (futsuumeishi),ring finger | third finger | fourth finger (esp. in piano-playing) | fourth toe,review,55,noun_needs_review,general,ring finger,薬指,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04994,N2,薬缶,やかん,kettle,noun (common) (futsuumeishi),kettle | bald head,review,55,noun_needs_review,general,kettle,薬缶,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04997,N2,蚊,か,mosquito,noun (common) (futsuumeishi),mosquito,review,55,noun_needs_review,general,mosquito,蚊,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04998,N2,蛇口,じゃぐち,"faucet,tap",noun (common) (futsuumeishi),faucet | tap,review,55,noun_needs_review,general,faucet,蛇口,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_04999,N2,蛍光灯,けいこうとう,"fluorescent lamp,person who is slow to react",noun (common) (futsuumeishi),fluorescent lamp | fluorescent light | person who is slow to react | someone slow on the uptake,review,55,noun_needs_review,general,fluorescent lamp,蛍光灯,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05000,N2,蝋燭,ろうそく,candle,noun (common) (futsuumeishi),candle,review,55,noun_needs_review,general,candle,蝋燭,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05001,N2,血圧,けつあつ,blood pressure,noun (common) (futsuumeishi),blood pressure,review,55,noun_needs_review,general,blood pressure,血圧,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05002,N2,血液,けつえき,blood,noun (common) (futsuumeishi),blood,review,55,noun_needs_review,general,blood,血液,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05003,N2,行事,ぎょうじ,"event,function",noun (common) (futsuumeishi),event | function,review,55,noun_needs_review,general,event,行事,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05004,N2,行列,ぎょうれつ,"(1) line,procession,(2) matrix (math)",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,line | queue | procession | parade | matrix,review,48,action_needs_review,person_family,person lining,行列,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05007,N2,表紙,ひょうし,"front cover,binding",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"cover (of a book, magazine, etc.) | binding | to appear on the cover of a magazine",review,48,action_needs_review,person_family,person fronting cover,表紙,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05009,N2,裁縫,さいほう,sewing,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,sewing | needlework,review,48,action_needs_review,person_family,person sewinging,裁縫,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05014,N2,製作,せいさく,"manufacture,production",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,"manufacture | production | production (of a film, play, TV show, etc.)",review,48,action_needs_review,person_family,person manufacturing,製作,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05015,N2,複写,ふくしゃ,"copy,duplicate",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,copying | duplication | reproduction | copy,review,48,action_needs_review,person_family,person copying,複写,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05017,N2,襖,ふすま,sliding screen,noun (common) (futsuumeishi),fusuma | Japanese sliding screen,review,55,noun_needs_review,general,sliding screen,襖,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05018,N2,西暦,せいれき,"Christian Era,anno domini (A.D.)",noun (common) (futsuumeishi),Common Era | CE | Christian Era | anno domini | AD,review,55,noun_needs_review,general,Christian Era,西暦,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05019,N2,要旨,ようし,"gist,essentials,summary,fundamentals",noun (common) (futsuumeishi),(main) point | gist | key points | essentials | substance,review,55,noun_needs_review,general,gist,要旨,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05020,N2,要領,ようりょう,"point,gist,essentials,outline",noun (common) (futsuumeishi),point | gist | essentials | tenets | outline,review,55,noun_needs_review,general,point,要領,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05024,N2,見出し,みだし,"heading,caption,subtitle,index",noun (common) (futsuumeishi),heading | headline | title | caption | index,review,55,noun_needs_review,general,heading,見出し,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05025,N2,見学,けんがく,"inspection,study by observation,field trip",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,inspection | study by observation | field trip | tour | review,review,48,action_needs_review,person_family,person inspectioning,見学,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05032,N2,規律,きりつ,"order,rules,law",noun (common) (futsuumeishi),order | observance | discipline | rules | law,review,55,noun_needs_review,general,order,規律,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05033,N2,規準,きじゅん,"standard,basis,criteria,norm",noun (common) (futsuumeishi),standard | criterion | norm | benchmark | measure,review,55,noun_needs_review,general,standard,規準,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05035,N2,親指,おやゆび,thumb,noun (common) (futsuumeishi),thumb | big toe,review,55,noun_needs_review,general,thumb,親指,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05037,N2,観念,かんねん,"(1) idea,notion,conception,(2) sense (e.g. of duty)",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,idea | notion | concept | conception | sense (e.g. of duty),review,48,action_needs_review,person_family,person ideaing,観念,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05038,N2,観測,かんそく,observation,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,observation | survey | measurement | opinion | prediction,review,48,action_needs_review,person_family,person observationing,観測,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05040,N2,解放,かいほう,"release,liberation,emancipation",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,release | unleashing | liberation | emancipation | setting free,review,48,action_needs_review,person_family,person releasing,解放,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05041,N2,解散,かいさん,"breakup,dissolution",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,"breaking up (a meeting, gathering, etc.) | dispersal (e.g. of a crowd) | dissolution (of a company, organization, etc.) | winding-up | disbandment",review,48,action_needs_review,person_family,person breakupping,解散,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05042,N2,解答,かいとう,"answer,solution",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,answer | solution,review,48,action_needs_review,person_family,person answerring,解答,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05043,N2,解説,かいせつ,"explanation,commentary",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,explanation | commentary | exposition | elucidation,review,48,action_needs_review,person_family,person explanationing,解説,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05047,N2,言葉遣い,ことばづかい,"speech,expression,wording",noun (common) (futsuumeishi),speech | expression | wording | language,review,55,noun_needs_review,general,speech,言葉遣い,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05049,N2,記号,きごう,"symbol,code",noun (common) (futsuumeishi),sign | symbol | mark,review,55,noun_needs_review,general,symbol,記号,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05052,N2,診断,しんだん,diagnosis,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,diagnosis | medical examination,review,48,action_needs_review,person_family,person diagnosissing,診断,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05053,N2,評論,ひょうろん,"criticism,critique",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,criticism | critique | review | comment | critical essay,review,48,action_needs_review,person_family,person criticisming,評論,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05058,N2,話合い,はなしあい,"discussion,conference",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,discussion | talk | tête-à-tête | conference,review,48,action_needs_review,person_family,person discussioning,話合い,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05060,N2,課程,かてい,"course,curriculum",noun (common) (futsuumeishi),course | curriculum,review,55,noun_needs_review,general,course,課程,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05061,N2,課税,かぜい,taxation,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,taxation,review,48,action_needs_review,person_family,person taxationing,課税,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05062,N2,調味料,ちょうみりょう,"condiment,seasoning",noun (common) (futsuumeishi),seasoning | flavoring | flavouring | condiment,review,55,noun_needs_review,general,condiment,調味料,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05063,N2,調整,ちょうせい,"regulation,adjustment,tuning",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,adjustment | regulation | coordination | reconciliation | tuning,review,48,action_needs_review,person_family,person regulationing,調整,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05064,N2,調節,ちょうせつ,"regulation,adjustment,control",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,regulation | adjustment | control,review,48,action_needs_review,person_family,person regulationing,調節,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05067,N2,謎謎,なぞなぞ,"riddle,puzzle,enigma",noun (common) (futsuumeishi),riddle | puzzle | enigma,review,55,noun_needs_review,general,riddle,謎謎,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05069,N2,謙遜,けんそん,"humble,humility,modesty",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb | adjectival nouns or quasi-adjectives (keiyodoshi),modesty | humility | being humble,review,48,action_needs_review,person_family,person humbling,謙遜,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05070,N2,講師,こうし,lecturer,noun (common) (futsuumeishi),speaker | lecturer | lecturer (at a university or college) | instructor | part-time teacher,review,55,noun_needs_review,general,lecturer,講師,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05071,N2,警備,けいび,"defense,guard,policing,security",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,defense | defence | guard | policing | security,review,48,action_needs_review,person_family,person defensing,警備,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05072,N2,貝,かい,"shell,shellfish",noun (common) (futsuumeishi),shellfish | seashell | shell,review,55,noun_needs_review,general,shell,貝,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05073,N2,貨物,かもつ,"cargo,freight",noun (common) (futsuumeishi),cargo | freight | money or assets,review,55,noun_needs_review,general,cargo,貨物,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05074,N2,貯蔵,ちょぞう,"storage,preservation",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,storage | preservation | stocking | stockpiling | hoarding (of goods or money without productive use),review,48,action_needs_review,person_family,person storaging,貯蔵,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05075,N2,貸し出し,かしだし,"lending,loaning",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,lending | loaning,review,48,action_needs_review,person_family,person lendinging,貸し出し,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05078,N2,資料,しりょう,"materials,data",noun (common) (futsuumeishi),material | materials | data | information | documents,review,55,noun_needs_review,general,materials,資料,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05079,N2,賞品,しょうひん,"prize,trophy",noun (common) (futsuumeishi),prize | trophy,review,55,noun_needs_review,general,prize,賞品,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05080,N2,賞金,しょうきん,"prize,monetary award",noun (common) (futsuumeishi),prize money | monetary award | reward,review,55,noun_needs_review,general,prize,賞金,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05081,N2,赤道,せきどう,equator,noun (common) (futsuumeishi),equator | (celestial) equator,review,55,noun_needs_review,general,equator,赤道,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05082,N2,起床,きしょう,"rising,getting out of bed",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,rising (from one's bed) | getting up | getting out of bed,review,48,action_needs_review,person_family,person risinging,起床,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05085,N2,超過,ちょうか,"excess,being more than",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"excess | surplus | exceeding (a limit, estimate, etc.) | going over",review,48,action_needs_review,person_family,person excessing,超過,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05087,N2,足袋,たび,"tabi,Japanese socks (with split toe)",noun (common) (futsuumeishi),tabi | traditional split-toe socks,review,55,noun_needs_review,general,tabi,足袋,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05088,N2,足跡,あしあと,footprints,noun (common) (futsuumeishi),footprints | record of page visitors (e.g. in social networking sites),review,55,noun_needs_review,general,footprints,足跡,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05091,N2,踏切,ふみきり,"railway crossing,level crossing,starting line,scratch,crossover",noun (common) (futsuumeishi),railway crossing | railroad crossing | train crossing | level crossing | starting line,review,55,noun_needs_review,general,railway crossing,踏切,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05093,N2,身分,みぶん,"social position,social status",noun (common) (futsuumeishi),(social) standing | status | position | rank | identity,review,55,noun_needs_review,general,social position,身分,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05094,N2,車庫,しゃこ,"garage,car shed",noun (common) (futsuumeishi),"garage | carport | depot (for trains, buses, etc.) | shed | carbarn",review,55,noun_needs_review,general,garage,車庫,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05095,N2,車掌,しゃしょう,(train) conductor,noun (common) (futsuumeishi),(train) conductor,review,55,noun_needs_review,general,conductor,車掌,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05096,N2,車輪,しゃりん,(car) wheel,noun (common) (futsuumeishi),(vehicle) wheel,review,55,noun_needs_review,general,wheel,車輪,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05103,N2,輸血,ゆけつ,blood transfusion,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,blood transfusion,review,48,action_needs_review,person_family,person blooding transfusion,輸血,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05104,N2,輸送,ゆそう,"transport,transportation",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,transport | transportation | transit | conveyance,review,48,action_needs_review,person_family,person transporting,輸送,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05106,N2,農産物,のうさんぶつ,agricultural produce,noun (common) (futsuumeishi),agricultural produce,review,55,noun_needs_review,general,agricultural produce,農産物,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05107,N2,農薬,のうやく,agricultural chemicals,noun (common) (futsuumeishi),agricultural chemical | agrochemical | agrichemical,review,55,noun_needs_review,general,agricultural chemicals,農薬,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05112,N2,述語,じゅつご,predicate,noun (common) (futsuumeishi),predicate,review,55,noun_needs_review,general,predicate,述語,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05113,N2,迷信,めいしん,superstition,noun (common) (futsuumeishi),superstition | superstitious belief,review,55,noun_needs_review,general,superstition,迷信,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05122,N2,送料,そうりょう,"postage,carriage",noun (common) (futsuumeishi),postage | carriage | shipping charge,review,55,noun_needs_review,general,postage,送料,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05132,N2,通帳,つうちょう,passbook,noun (common) (futsuumeishi),passbook | bankbook,review,55,noun_needs_review,general,passbook,通帳,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05133,N2,通用,つうよう,"popular use,circulation",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"(common) use (of a language, currency, etc.) | current use | circulation | currency | validity (e.g. of a ticket)",review,48,action_needs_review,person_family,person popularring use,通用,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05134,N2,通知,つうち,"notice,notification",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,"notice | notification | report | posting | notification (on a smartphone, PC, etc.)",review,48,action_needs_review,person_family,person noticing,通知,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05135,N2,通訳,つうやく,interpretation,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,interpretation (i.e. oral translation) | interpreter,review,48,action_needs_review,person_family,person interpretationing,通訳,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05136,N2,通貨,つうか,currency,noun (common) (futsuumeishi),currency,review,55,noun_needs_review,general,currency,通貨,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05137,N2,通路,つうろ,"passage,pathway",noun (common) (futsuumeishi),passage | pathway | roadway | avenue | aisle,review,55,noun_needs_review,general,passage,通路,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05138,N2,速力,そくりょく,speed,noun (common) (futsuumeishi),speed,review,55,noun_needs_review,general,speed,速力,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05139,N2,速達,そくたつ,"express,special delivery",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,express | special delivery,review,48,action_needs_review,person_family,person expressing,速達,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05140,N2,造船,ぞうせん,shipbuilding,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,shipbuilding,review,48,action_needs_review,person_family,person shipbuildinging,造船,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05141,N2,連合,れんごう,"union,alliance",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,union | combination | alliance | confederation | coalition,review,48,action_needs_review,person_family,person unioning,連合,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05144,N2,運河,うんが,"canal,waterway",noun (common) (futsuumeishi),(navigable) canal | waterway,review,55,noun_needs_review,general,canal,運河,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05146,N2,過半数,かはんすう,majority,noun (common) (futsuumeishi),majority,review,55,noun_needs_review,general,majority,過半数,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05147,N2,過失,かしつ,"error,blunder,accident",noun (common) (futsuumeishi),accident (caused by negligence) | error | blunder | fault | defect,review,55,noun_needs_review,general,error,過失,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05148,N2,過程,かてい,process,noun (common) (futsuumeishi),process | course | mechanism,review,55,noun_needs_review,general,process,過程,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05149,N2,道順,みちじゅん,"itinerary,route",noun (common) (futsuumeishi),route | way | course | directions,review,55,noun_needs_review,general,itinerary,道順,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05150,N2,遠足,えんそく,"trip,hike,picnic",noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,school trip | field trip | excursion | outing | long walk,review,48,action_needs_review,person_family,person tripping,遠足,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05154,N2,郡,ぐん,"country,district",noun (common) (futsuumeishi),"district | county | district (of 2-20 50-home neighbourhoods or townships, in the ritsuryō period) | commandery (in China)",review,55,noun_needs_review,general,country,郡,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05155,N2,部品,ぶひん,"parts,accessories",noun (common) (futsuumeishi),parts | accessories | components,review,55,noun_needs_review,general,parts,部品,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05156,N2,部首,ぶしゅ,radical (of a kanji character),noun (common) (futsuumeishi),radical (of a kanji character),review,55,noun_needs_review,general,radical,部首,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05157,N2,郵送,ゆうそう,mailing,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,mailing | posting,review,48,action_needs_review,person_family,person mailinging,郵送,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n2_05158,N2,都心,としん,heart (of city),noun (common) (futsuumeishi),city centre (esp. of Tokyo) | heart of a city | downtown area,review,55,noun_needs_review,general,heart,都心,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05161,N2,酒場,さかば,"bar,bar-room",noun (common) (futsuumeishi),bar | pub | tavern,review,55,noun_needs_review,general,bar,酒場,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05162,N2,酔っ払い,よっぱらい,drunkard,noun (common) (futsuumeishi),drunk person | (a) drunk | being drunk | getting drunk,review,55,noun_needs_review,general,drunkard,酔っ払い,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05163,N2,酢,す,vinegar,noun (common) (futsuumeishi),vinegar,review,55,noun_needs_review,general,vinegar,酢,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05166,N2,醤油,しょうゆ,soy sauce,noun (common) (futsuumeishi),soy sauce | soya sauce | shoyu,review,55,noun_needs_review,general,soy sauce,醤油,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05170,N2,重体,じゅうたい,"seriously ill,serious condition,critical state",noun (common) (futsuumeishi),serious condition | critical condition,review,55,noun_needs_review,general,seriously ill,重体,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05171,N2,重力,じゅうりょく,gravity,noun (common) (futsuumeishi),gravity | gravitation | gravitational pull,review,55,noun_needs_review,general,gravity,重力,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05172,N2,重役,じゅうやく,"director,high executive",noun (common) (futsuumeishi),(company) director | executive | top management | important post | role with heavy responsibilities,review,55,noun_needs_review,general,director,重役,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05173,N2,重点,じゅうてん,"important point,lay stress on,colon,emphasis",noun (common) (futsuumeishi),important point | emphasis | stress | importance | priority,review,55,noun_needs_review,general,important point,重点,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05174,N2,重量,じゅうりょう,"(1) weight,(2) heavyweight boxer",noun (common) (futsuumeishi),weight,review,55,noun_needs_review,general,weight,重量,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n2_05176,N2,金魚,きんぎょ,goldfish,noun (common) (futsuumeishi),goldfish (Carassius auratus),review,55,noun_needs_review,general,goldfish,金魚,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
